timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1404321126907,5362,获取验证码,503,Service Temporarily Unavailable,现金会员 1-2,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",493,12,12,5362,1,1,PC-078
1404321127910,4624,获取验证码,503,Service Temporarily Unavailable,现金会员 1-4,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,13,13,4624,1,1,PC-078
1404321128410,4207,获取验证码,503,Service Temporarily Unavailable,现金会员 1-5,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,13,13,4206,1,1,PC-078
1404321128909,3875,获取验证码,503,Service Temporarily Unavailable,现金会员 1-6,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,13,13,3875,1,1,PC-078
1404321129412,3543,获取验证码,503,Service Temporarily Unavailable,现金会员 1-7,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,14,14,3543,1,1,PC-078
1404321129912,3119,获取验证码,503,Service Temporarily Unavailable,现金会员 1-8,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,14,14,3119,1,1,PC-078
1404321132913,9417,获取验证码,503,Service Temporarily Unavailable,现金会员 1-14,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,32,32,9417,1,1,PC-078
1404321132963,9865,验证用户名是否存在,503,Service Temporarily Unavailable,现金会员 1-7,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,33,33,9865,1,1,PC-078
1404321133413,12953,获取验证码,503,Service Temporarily Unavailable,现金会员 1-15,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,40,40,12953,1,1,PC-078
1404321134915,12687,获取验证码,503,Service Temporarily Unavailable,现金会员 1-18,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,43,43,12687,1,1,PC-078
1404321135415,12451,获取验证码,503,Service Temporarily Unavailable,现金会员 1-19,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,43,43,12451,1,1,PC-078
1404321135916,12247,获取验证码,503,Service Temporarily Unavailable,现金会员 1-20,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,44,44,12247,1,1,PC-078
1404321136411,11987,获取验证码,503,Service Temporarily Unavailable,现金会员 1-21,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,44,44,11987,1,1,PC-078
1404321136915,12257,获取验证码,503,Service Temporarily Unavailable,现金会员 1-22,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,46,46,12257,1,1,PC-078
1404321137415,12800,获取验证码,503,Service Temporarily Unavailable,现金会员 1-23,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,48,48,12800,1,1,PC-078
1404321127405,26113,获取验证码,503,Service Temporarily Unavailable,现金会员 1-3,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,55,55,26113,1,1,PC-078
1404321147869,16634,验证用户名是否存在,503,Service Temporarily Unavailable,现金会员 1-19,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,77,77,16633,1,1,PC-078
1404321133039,31642,验证用户名是否存在,503,Service Temporarily Unavailable,现金会员 1-8,false,"Test failed: code expected to equal /

****** received  : [[[503]]]

****** comparison: [[[200]]]

/",576,77,77,31642,1,1,PC-078
